Timestamp,Concentration (or best guess),Secondary (if applicable),Graduation Year,Prior CS background:,Do you have plans to take any CS courses in the future?,Are you interested in getting a:,Are you interested in pursuing a job with a quantitative focus after graduation?,"Have you ever considered taking a computer science course? If not, why not? If you have considered it, why did you decide not to take it?","In your opinion, should some programming knowledge be a requirement for graduation? If not, why not? If so, why?",What three words best describe a computer science concentrator at Harvard?,What made you decide to take your first CS course?,What were your impressions of CS students before you took your first class? After?,How accessible was the professor of this class?,How accessible were the teaching fellows of this class?,"Do you think you’ll take another CS class? If so, why? If not, why not?",How good are you at programming compared to others in the CS classes you've taken?,How good are you at CS theory compared to others in the CS classes you've taken?,What CS classes have you taken or are currently taking?,What is your estimated concentration GPA?,How many years have you been programming?,How often do you go to office hours on average for your CS classes?,How often do you think the average CS student goes to office hours?,How accessible are professors in your CS classes?,How accessible are teaching fellows in your CS classes?,How often do you interact with your CS class course staff?,How involved do you feel with the CS community at Harvard?,"Do you consider yourself a member of any tech student organizations on campus? If yes, specify which ones.",How easy is it to find partners to work with on psets or final projects?,Are there any specific classes in which finding partners has been hard?,How have you met people to work on class material with?,I like CS because it gives me a tool to make a difference in other areas I care about.,I like CS because I am interested in the CS problems I get to think about and solve.,"If you are a sophomore, junior, or senior, what did you do last summer?",How stressful is the process of finding a summer internship/job?,"Have you ever been referred to a tech internship or full-time position? If so, how many times?","Do you have a role model and/or mentor in CS? If so, who? ",Do you feel like you need more support in CS from:,What three words would you use to describe a computer science concentrator?,What will you most likely pursue after graduation?,What type of graduate school are you interested in?,What subfield in tech industry would you be interested in working in?,What gender do you identify with,What race(s) do you identify with?,"By your estimates, is there a gender gap in enrollment in CS classes?","If yes, what factors (related or unrelated to college) do you think cause this gap?","If yes, what is the impact of this gender gap on your experience of CS at Harvard? "
3/30/2017 20:13:23,Electrical Engineering,,2017,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Concentration requirements/looked cool,"Scary smart, still scary smart but less magic",3,5,"No, cause I'm graduating, but I would if I wasn't",,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,5,?,"Harder to find pset buddies, a lot more intimidating to speak up in class/section, feeling like you need to work three times as hard to be half as good"
3/30/2017 20:14:04,Computer Science,,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,2,2,"CS50, CS51",,2,Never,1-2 times a semester,3,3,Never,2,WiCS,3,N/A,Previous friends,4,4,N/A,5,0 - never been referred,N/?A,"Peers, Advisors, Teaching Staff, Professors, Mentors","Quirky, chill, techy",Uncertain,,,Female,Asian,4,Not enough women community in technology,Makes it a little sad
3/30/2017 20:15:40,Math + Computer Science,,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,3,CS51,N/A,2,1-2 times a semester,3-8 times a semester,2,4,At least once a week,2,No,5,No,Already knew them,3,4,N/A,5,0 - never been referred,Upperclassmen from my high school,"Peers, Teaching Staff","Hard-working, persistent, confused",Finance,,,Female,Asian,4,Lack of female peers,Discouraging
3/30/2017 20:22:17,Computer Science,Economics,2018,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,It was the best elective option in high school,Super difficult and unapproachable. Fun and logical!,4,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,4,Pipeline problem. Lack of role models. Lack of encouragement.,"Not much, since I don't let a gender gap deter me from taking classes."
3/30/2017 20:22:41,Math/Physics,,2018,Never taken CS at Harvard,Yes,Neither of the above,Yes,"Yes. No time, prior knowledge of programming, lack of interest.",No. There are lots of jobs that do not require programming knowledge still.,"Analytical, hard-working, capable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Asian,4,"Cultural perception, background, social life within Harvard, lack of encouragement of faculty/professors, advising.",None.
3/30/2017 20:26:32,Computer Science,,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,2,"CS51, CS61, CS124",,5,At least once a week,At least once a week,3,4,3-8 times a semester,1,-,1,"CS61, CS124, CS51",Office Hours,4,4,-,4,3 or more,-,Peers,detached,Uncertain,,,Female,Asian,4,"More ""hardcore"" classes have more of a gap",I didn't ask questions in cs61
3/30/2017 20:27:16,Computer Science,Anthropology,2019,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,1,2,"CS50, CS51, CS121, CS124, CS181, CS182, Stat110",4,3,At least once a week,3-8 times a semester,2,4,At least once a week,3,Women in Computer Science,3,"CS124, CS181","Piazza, WiCS/friend groups",5,3,SEAS Engineering Exchange program in Hong Kong,5,2,Upperclassmen ,"Advisors, Professors, Mentors","Independent, analytical, stressed","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (backend), Product Management, Machine Learning / Artificial Intelligence, Image processing / VR, Uncertain",Female,Asian,4,"Perception of CS, treatment from non-female peers, overall assumption that everyone already knows everything","Emotionally, being looked down upon/disrespected occasionally"
3/30/2017 20:34:08,Computer Science,,2018,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,2,"CS20, CS50, CS51, CS121, CS124, CS134, CS171, CS179",3.4,3,At least once a week,3-8 times a semester,2,4,3-8 times a semester,5,Harvard Computer Society,5,CS124,I met with friends and classmates who I knew were taking the course,5,5,Studied abroad in germany,5,2,Bill Gates,"Teaching Staff, Professors","Stressed, resourceful, nerd","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Business development / growth hacking, Graphics / Design, Image processing / VR",Male,Hispanic or Latino,4,"There's the idea that engineering is meant for ""boys"" that starts at a very early age.",I lose the perspectives that I would procure if I interacted with more women in tech.
3/30/2017 20:37:26,Physics,CS,2018,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,curious / past dabbling in apps,chill / not so,3,4,Yep - cool material and fun to learn with friends/good tf's,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Caucasian,4,"I think the community (i.e. students) seems pretty Silicon-Valley/app/startup focused and it's difficult to find equally-strong groups of people from different backgrounds than this stereotype. From a student standpoint, there also seems to be less emphasis on other career / discipline applications of CS, which thereby seems to push people away who might not agree with or fit the stereotype of Silicon-Valley / Startup person.",Personally I have not experienced much impact from the gap.
3/30/2017 20:40:04,Computer Science,Linguistics,2017,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,1,1,"CS20, CS50, CS51, CS121, CS124, CS134, CS171, CS179, Stat110",3.2,3.5,3-8 times a semester,3-8 times a semester,3,5,At least once a week,1,no,3,"everything above cs50, 51, and 20",usually I know friends taking the class with me,4,3,intern at small startup in Chicago,5,3 or more,no,"Advisors, Teaching Staff, Professors, Mentors",imposter syndrome,"Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Product Management, Graphics / Design",Female,Asian,3,"imposter syndrome, less experience before taking any CS class here","less confident about my abilities (i am female), and more hesitant to ask for help"
